CREATE TABLE Item (itemID int Primary Key not Null, itemName VARCHAR(50), itemDescription VARCHAR(100), itemRestore int, itemDamage int);
INSERT INTO Item VALUES(1, 'spear', 'a weapon that does 100', 0, 100);
INSERT INTO Item VALUES(2, 'axe', 'a weapon that does 150', 0, 250);
INSERT INTO Item VALUES(3, 'sword', 'a weapon that does 70 Damage ', 0, 70);
INSERT INTO Item VALUES(4, 'strawberry', 'a fruit that restores energy and can be used to make fruit salad', 200, 0);
INSERT INTO Item VALUES(5, 'banana', 'a fruit that restores energy and can be used to make fruit salad', 200, 0);
INSERT INTO Item VALUES(6, 'mango', 'a fruit that restores energy and can be used to make fruit salad', 200, 0);
INSERT INTO Item VALUES(7, 'grapes', 'a fruit that restores energy and can be used to make fruit salad', 200, 0);
INSERT INTO Item VALUES(8, 'coconut', 'a fruit that restores energy and can be used to make fruit salad', 200, 0);
INSERT INTO Item VALUES(9, 'apple', 'a fruit that restores energy and can be used to make fruit salad', 200, 0);
INSERT INTO Item VALUES(10, 'blackberry', 'a fruit that restores energy and can be used to make fruit salad', 200, 0);
INSERT INTO Item VALUES(11, 'blueberry', 'a fruit that restores energy and can be used to make fruit salad', 200, 0);
INSERT INTO Item VALUES(12, 'anaconda meat', 'taken from anaconda', 300, 0);
INSERT INTO Item VALUES(13, 'caiman meat', 'taken from caiman', 300, 0);
INSERT INTO Item VALUES(14, 'tiger meat', 'taken from tiger', 300, 0);
INSERT INTO Item VALUES(15, 'jaguar meat', 'taken from jaguar', 300, 0);
INSERT INTO Item VALUES(16, 'rice', 'food that gives energy', 200, 0);
INSERT INTO Item VALUES(17, 'fruit salad', 'can be crafted with one of each fruit', 200, 0);
INSERT INTO Item VALUES(18, 'stew', 'fully restores energy and health', 1000, 0);
INSERT INTO Item VALUES(19, 'tiger spread', 'doubles all stats', 0, 0);
INSERT INTO Item VALUES(20, 'money', 'used to buy things', 0, 0);
INSERT INTO Item VALUES(21, 'treasure', 'used to buy things and can be found', 0, 0);
INSERT INTO Item VALUES(22, 'wood', 'used to craft things and can be gathered', 0, 0);
INSERT INTO Item VALUES(23, 'sturdy leaves', 'used to craft things and can be gathered', 0, 0);
INSERT INTO Item VALUES(24, 'cloth', 'used to craft things and can be gathered', 0, 0);
INSERT INTO Item VALUES(25, 'sharp rocks', 'used to craft things and can be gathered', 0, 0);
INSERT INTO Item VALUES(26, 'ore', 'used to craft things and can be gathered', 0, 0);
INSERT INTO Item VALUES(27, 'heavy rock', 'used to craft things and can be gathered', 0, 0);
INSERT INTO Item VALUES(28, 'rope', 'used to craft things and can be gathered', 0, 0);
INSERT INTO Item VALUES(29, 'raft', 'can be crafted', 0, 0);
INSERT INTO Item VALUES(30, 'water', 'can drink it to restore energy and health', 200, 0);
INSERT INTO Item VALUES(31, 'shield', 'used to reduce damage taken', 0, 0);
INSERT INTO Item VALUES(32, 'vegetable', 'used to make stew', 0, 0);
INSERT INTO Item VALUES(33, 'pickaxe', 'tool used to get ore', 0, 0);
INSERT INTO Item VALUES(34, 'scythe', 'tool', 0, 0);
INSERT INTO Item VALUES(35, 'fishing pole', 'tool used to get fish', 0, 0);
INSERT INTO Item VALUES(36, 'watering can', 'tool used for watering', 0, 0);
INSERT INTO Item VALUES(37, 'knife', 'tool used to cut things', 0, 75);
INSERT INTO Item VALUES(38, 'forest key fragment 1', 'used to craft the forest key', 0, 0);
INSERT INTO Item VALUES(39, 'forest key', 'lets you into the forest', 0, 0);
INSERT INTO Item VALUES(40, 'key', 'Goblin Boss Key that Unlocks a Room', 0, 0);
INSERT INTO Item VALUES(41, 'forest key fragment 2', 'used to craft the forest key', 0, 0);
INSERT INTO Item VALUES(42, 'forest key fragment 3', 'used to craft the forest key', 0, 0);
INSERT INTO Item VALUES(43, 'forest key fragment 4', 'used to craft the forest key', 0, 0);
